0.0,0.001826,4.27e-05
0.05,0.001835,4.28e-05
0.1,0.001868,4.32e-05
0.15,0.002026,4.5e-05
0.2,0.002034,4.51e-05
0.25,0.00211,4.59e-05
0.30,0.002183,4.67e-05
0.35,0.002232,4.72e-05
0.40,0.002406,4.91e-05
0.45,0.00244,4.94e-05
0.50,0.002523,5.02e-05
0.55,0.002625,5.12e-05
0.6,0.002577,5.08e-05
0.65,0.002759,5.25e-05
0.70,0.002769,5.26e-05
0.75,0.002834,5.32e-05
0.80,0.002992,5.47e-05
0.85,0.003040,5.51e-05
0.90,0.00313,5.68e-05
0.95,0.003201,5.66e-05
1.0,0.003259,5.71e-05














