,Incident Angle,Detected number,LXe refractive index
0,0,51,1.6
1,1,172,1.6
2,2,266,1.6
3,3,341,1.6
4,4,543,1.6
5,5,601,1.6
6,6,741,1.6
7,7,858,1.6
8,8,785,1.6
9,9,547,1.6
10,10,262,1.6
11,11,94,1.6
12,12,10,1.6
13,13,0,1.6
14,14,0,1.6
15,15,0,1.6
16,16,0,1.6
17,17,0,1.6
18,18,0,1.6
19,19,0,1.6
20,20,0,1.6
21,21,0,1.6
22,22,0,1.6
23,23,0,1.6
24,24,0,1.6
25,25,0,1.6
26,26,0,1.6
27,27,0,1.6
28,28,0,1.6
29,29,0,1.6
30,30,0,1.6
31,31,0,1.6
32,32,0,1.6
33,33,0,1.6
34,34,0,1.6
35,35,0,1.6
36,36,0,1.6
37,37,0,1.6
38,38,0,1.6
39,39,0,1.6
40,40,0,1.6
41,41,0,1.6
42,42,0,1.6
43,43,0,1.6
44,44,0,1.6
45,45,0,1.6
46,46,0,1.6
47,47,0,1.6
48,48,0,1.6
49,49,0,1.6
50,50,0,1.6
51,51,0,1.6
52,52,0,1.6
53,53,0,1.6
54,54,0,1.6
55,55,0,1.6
56,56,0,1.6
57,57,0,1.6
58,58,0,1.6
59,59,26,1.6
60,60,738,1.6
61,61,1330,1.6
62,62,1361,1.6
63,63,1387,1.6
64,64,706,1.6
65,65,4,1.6
66,66,0,1.6
67,67,0,1.6
68,68,0,1.6
69,69,0,1.6
70,70,0,1.6
71,71,0,1.6
72,72,0,1.6
73,73,0,1.6
74,74,0,1.6
75,75,0,1.6
76,76,0,1.6
77,77,0,1.6
78,78,0,1.6
79,79,0,1.6
80,80,0,1.6
81,81,0,1.6
82,82,0,1.6
83,83,0,1.6
84,84,0,1.6
85,85,0,1.6
86,86,0,1.6
87,87,0,1.6
88,88,0,1.6
89,89,0,1.6



