name,stl_filepath,inner_mat,outer_mat,surface,color,displacement x,displacement y,displacement z,solid_type,killing surface
sipm,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - FBKSiPMAssem-1 SipmPlate-1.STL,silicon,liquid xenon,FBK HD3,black,0,0,0,pmt,False
source,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - sourceflippedassem-2 sourcepart3-2.STL,steel,liquid xenon,None,red,0,0,0,none,False
silica window,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - silicawindow-2 SilicaWindow-1.STL,silica,liquid xenon,None,cyan,0,0,0,solid,False
silica gasket 1,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - silicawindow-2 SilicaGasket.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
silica gasket 2,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - silicawindow-2 SilicaGasket.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
copper plate 1,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - SiPM-Disk-1.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
copper plate 2,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - SiPM-Disk-2.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
copper washer,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - WasherReplacement-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
reflectorholder1,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - 2023_5_25 ReflectorHolderAssemWide-2 2023_5_23_SilicaGasketCut-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
reflectorholder2,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - 2023_5_25 ReflectorHolderAssemWide-2 2023_5_23_SilicaGasketCut-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False
reflector2,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - 2023_5_25 ReflectorHolderAssemWide-2 reflector-2.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector3,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - 2023_5_25 ReflectorHolderAssemWide-2 reflector-3.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector4,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - 2023_5_25 ReflectorHolderAssemWide-2 reflector-4.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector5,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - 2023_5_25 ReflectorHolderAssemWide-2 reflector-5.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector6,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - 2023_5_25 ReflectorHolderAssemWide-2 reflector-6.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector7,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - 2023_5_25 ReflectorHolderAssemWide-2 reflector-7.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector8,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - 2023_5_25 ReflectorHolderAssemWide-2 reflector-8.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
reflector9,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - 2023_5_25 ReflectorHolderAssemWide-2 reflector-9.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False
sipm substrate,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - FBKSiPMAssem-1 Sipmsubstrate-1.STL,steel,liquid xenon,Steel-Xe,blue,0,0,0,solid,False
threaded rod 3,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - ThreadedRod_1.step-3.STL,steel,liquid xenon,Steel-Xe,blue,0,0,0,solid,False
threaded rod 4,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - ThreadedRod_1.step-4.STL,steel,liquid xenon,Steel-Xe,blue,0,0,0,solid,False
source pt1,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - sourceflippedassem-2 Am-241_Source_part-1.step-1.STL,aluminum,liquid xenon,Al-Xe,blue,0,0,0,solid,False
source pt2,/workspace/data_files/stl_files/2023_8_01_Silicone_FlippedSourceLowerV2/LowerboundRework - sourceflippedassem-2 Am-241_Source_part-2.step-1.STL,steel,liquid xenon,Steel-Xe,blue,0,0,0,solid,False
